func,start,end,is_cold,container_id,provider.request_id,request_id
reduce,1655122818.873377,1655122824.631882,True,bd7a1247,bb1e425c-93ea-47a2-aebc-c1612b25a43d,90059b01
map,1655122806.623257,1655122812.14999,True,03189406,ccc8ffa5-8edf-4201-bb3d-6213a0c7cdd9,90059b01
split,1655122800.559726,1655122806.081425,True,d644648f,bfc90fcd-86a9-4414-af0e-61316eb7ee78,90059b01
reduce,1655122818.874308,1655122824.669538,True,8a4d65af,c2fa1647-f370-43ea-9997-e02dda0ddf40,90059b01
shuffle,1655122813.081544,1655122818.240432,True,e3a5ccee,fa166f0a-da67-4451-adb7-99294591cd9e,90059b01
reduce,1655122818.835494,1655122824.213028,True,cb9b3c9c,b2826fc0-d569-4675-9830-bb32206017eb,90059b01
map,1655122806.674442,1655122812.2278,True,88fcd96a,7574227d-07a7-4548-871f-cedda5dd1c02,90059b01
reduce,1655122819.246879,1655122824.759896,True,aae94230,769a07c5-2e1b-44e0-88d2-6cf2f71d79f6,c1e4514f
reduce,1655122819.167324,1655122824.991748,True,dbc2bcb4,cd6ec275-590d-407f-bcdc-7dfbf6b5229d,c1e4514f
split,1655122800.330866,1655122806.196128,True,9f9b59bd,3ef713e8-421f-41b7-aba3-e3ded39bc5fb,c1e4514f
map,1655122806.760005,1655122812.94187,True,1cb1e719,4fd6e3f8-2f6d-41f7-9ace-a21c08e8a9c4,c1e4514f
map,1655122806.760945,1655122812.747145,True,98f0465e,d62f7bbd-1364-4279-8e53-f293dbaa3e04,c1e4514f
map,1655122806.69563,1655122812.201487,True,e0a22fb8,7c42836b-ed05-4cfa-b98d-09e1dbc70c27,c1e4514f
reduce,1655122819.247853,1655122825.009544,True,36da0ba4,894ed347-9747-45dc-adc1-bf0bf979bab1,c1e4514f
shuffle,1655122813.366358,1655122818.48074,True,0d30bbc7,bd82c2ea-e807-4666-91c6-15600ca540a9,c1e4514f
reduce,1655122819.179145,1655122824.723999,True,79e7083b,cd5d4716-9460-4f8b-938c-e7366f6c145c,c1e4514f
reduce,1655122819.168432,1655122824.759076,True,38a33a9c,009b92b0-b854-41ed-8dd8-0be77b3f624d,c1e4514f
split,1655122800.617842,1655122806.185032,True,8a32ec57,6816a72e-c95f-456b-a414-c6143c08da10,29f05194
map,1655122806.643853,1655122812.219837,True,2796864e,b6d446d0-999c-4486-b2e5-48005b652654,29f05194
reduce,1655122818.936615,1655122825.022971,True,f19a3b07,c07fa71f-f668-48d6-8c3c-e755df365d2b,29f05194
reduce,1655122818.905344,1655122824.421853,True,09f6a945,ede6012b-cd49-4e01-b3c4-1ca751b68103,29f05194
map,1655122806.683849,1655122812.398688,True,1d6f9731,7f50d304-e520-479f-b3b0-ccb6b8bcaf4b,29f05194
reduce,1655122818.921685,1655122824.597374,True,7e8a5240,adc9d760-69fc-448c-a1d3-8c4a5ede537f,29f05194
reduce,1655122818.902925,1655122824.723179,True,9fc68616,496fcf38-5a7b-424f-bb49-0f14cd4d56fe,29f05194
reduce,1655122818.943906,1655122824.56559,True,a1e135f0,0b572a65-41e0-471e-85a2-bd67aebf6384,29f05194
shuffle,1655122812.880982,1655122818.353993,True,70a945c5,bb9929f9-2e96-40c5-8824-06885a614b7f,29f05194
map,1655122806.695951,1655122812.485742,True,afafd359,43302e82-7f9e-4a52-b3f5-fc6b7144e2d4,29f05194
reduce,1655122818.469381,1655122823.942562,True,851ff3aa,ff4ec716-f7ae-48f0-b236-cc497b1ffd39,2c683172
map,1655122806.488298,1655122812.274771,True,64777880,0c558ee8-05b0-4b8b-941a-482061071bd3,2c683172
map,1655122806.477469,1655122812.265097,True,41514cc3,9c789b01-e34c-4007-960d-9fa24c0ee4cd,2c683172
reduce,1655122818.628926,1655122824.26898,True,5b1804f9,c625d5e7-fcc1-46a5-a77c-c4b04c46615a,2c683172
shuffle,1655122812.741234,1655122817.85463,True,e0a2a1b9,bb151316-908d-484d-979e-024b92e60c24,2c683172
reduce,1655122818.471194,1655122824.009702,True,0984a0c1,8e6763a3-00f1-4257-a3fa-2fba0a17a4c4,2c683172
